ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score
물가/NNG,45920,26057,71977,0.0072225900975647,0.0051456824313956,1.4036214231754949
인상/NNG,29672,17407,47079,0.0046670011623462,0.0034374983337799,1.3576737234994718
오르/VV,23372,14016,37388,0.0036760970331072,0.0027678506719285,1.328141387969404
인플레이션/NNG,19160,10729,29889,0.0030136068438445,0.0021187407148345,1.4223575460387712
부동산/NNG,13804,8352,22156,0.0021711810476215,0.0016493356743683,1.316397311573987
상승률/NNG,11455,6777,18232,0.0018017153651481,0.001338307934051,1.346263680657094
소비/NNG,10817,6178,16995,0.0017013666612665,0.0012200186537653,1.3945415146035935
사업/NNG,10396,5189,15585,0.0016351490996141,0.001024712980639,1.5957142443871546
전략/NNG,8764,5237,14001,0.0013784577442303,0.0010341919212963,1.3328838833922152
주택/NNG,8651,4950,13601,0.0013606843844519,0.0009775157552829,1.3919820494944617
유가/NNG,8199,4684,12883,0.0012895909453382,0.0009249866258071,1.3941725311032889
설명/NNG,7959,4853,12812,0.0012518422166053,0.000958360396038,1.3062332518962547
긴축/NNG,7830,4210,12040,0.0012315522749114,0.0008313820868164,1.4813312608494205
원달러/NNG,7882,4022,11904,0.0012397311661368,0.0007942562359087,1.560870547926497
매출/NNG,7845,3947,11792,0.0012339115704572,0.0007794453911317,1.5830635276009033
계획/NNG,6958,3914,10872,0.0010943985605151,0.0007729286194298,1.4159115512147515
고금리/NNG,7436,3364,10800,0.0011695814452415,0.0006643157577317,1.760580614909772
나서/VV,5798,3507,9305,0.0009119463716393,0.0006925551017732,1.3167852916027023
관계자/NNG,5347,2738,8085,0.0008410102188954,0.0005406945733262,1.5554256698412017
추진/NNG,4541,2754,7295,0.0007142374049007,0.0005438542202119,1.3132883378607076
업계/NNG,4496,2359,6855,0.0007071595182633,0.0004658504377197,1.5179968955804468
수입/NNG,4373,2429,6802,0.0006878132947876,0.0004796738928449,1.4339185539331791
소득/NNG,4233,2539,6772,0.0006657932030268,0.0005013964651845,1.3278777359983371
영업이익/NNG,4200,2263,6463,0.000660602752826,0.0004468925564051,1.4782138197602417
함께/MAG,4151,2095,6246,0.0006528957207097,0.0004137162641046,1.5781243749814111
모두/MAG,3872,2345,6217,0.0006090128235577,0.0004630857466946,1.315118912436052
경로/NNG,3689,2247,5936,0.0005802294178988,0.0004437329095193,1.3076096125648151
중립/NNG,4017,1895,5912,0.0006318193471671,0.0003742206780325,1.688360329228509
다양/NNG,3650,2167,5817,0.0005740952494797,0.0004279346750905,1.3415487991439348
지연/NNG,3554,1968,5522,0.0005589957579866,0.0003886365669488,1.4383509055136148
계속/MAG,3388,2073,5461,0.000532886220613,0.0004093717496366,1.3017171338421247
연체율/NNG,3387,1986,5373,0.0005327289342432,0.0003921911696953,1.358339951042503
여전히/MAG,3293,2001,5294,0.0005179440154895,0.0003951533386507,1.3107418433008122
많이/MAG,3338,1916,5254,0.0005250219021269,0.0003783677145701,1.3875969907301882
지정학/NNG,3647,1593,5240,0.0005736233903706,0.0003145823430637,1.8234443318844733
저축은행/NNG,3571,1520,5091,0.0005616696262718,0.0003001664541475,1.8711938609763992
순이익/NNG,3341,1707,5048,0.0005254937612361,0.0003370948271248,1.558890018331565
매파/NNG,2991,1830,4821,0.0004704435318339,0.0003613846125591,1.3017807496077574
전세/NNG,3259,1559,4818,0.000512596278919,0.0003078680934315,1.6649866935075437
출시/NNG,3031,1775,4806,0.0004767349866227,0.0003505233263893,1.360066365720982
분양/NNG,3079,1634,4713,0.0004842847323693,0.0003226789382085,1.5008253561822518
프로그램/NNG,2946,1746,4692,0.0004633656451965,0.0003447964664089,1.3438816529141355
사업장/NNG,3279,1338,4617,0.0005157420063134,0.0002642254708219,1.9519011725444944
참여/NNG,2869,1730,4599,0.000451254594728,0.0003416368195231,1.3208605423675883
돌파/NNG,2752,1589,4341,0.0004328520894707,0.0003137924313423,1.379421701215373
경영/NNG,2872,1408,4280,0.0004517264538372,0.0002780489259471,1.6246293787989126
외환시장/NNG,2890,1351,4241,0.0004545576084922,0.0002667926839166,1.70378588280275
msci/NNG,2627,1604,4231,0.0004131912932557,0.0003167546002977,1.3044523832244508
전국/NNG,2731,1374,4105,0.0004295490757066,0.0002713346763149,1.5830968659829994
적절/NNG,2605,1466,4071,0.0004097309931218,0.000289502645908,1.4152927405437368
소상공인/NNG,2654,1397,4051,0.0004174380252381,0.0002758766687131,1.5131327603210367
오름/NNG,2779,1254,4033,0.0004370988214532,0.0002476373246716,1.765076496577111
역대/NNG,2489,1452,3941,0.0003914857742342,0.000286737954883,1.3653085249702013
카드/NNG,2466,1307,3773,0.0003878681877307,0.0002581036549807,1.5027613140914444
어렵/VV,2309,1401,3710,0.0003631742276846,0.0002766665804346,1.3126783405283875
보증/NNG,2191,1283,3474,0.0003446144360575,0.0002533641846521,1.3601545006479014
웃돌/VV,2232,1205,3437,0.0003510631772161,0.000237960906084,1.4752976990772766
만들/VV,2125,1260,3385,0.000334233535656,0.0002488221922538,1.3432625628305996
제품/NNG,2180,1168,3348,0.0003428842859906,0.0002306542226607,1.4865727669553146
개입/NNG,2476,866,3342,0.0003894410514279,0.0001710158876919,2.2772214715481
확신/NNG,2111,1169,3280,0.0003320315264799,0.000230851700591,1.438289281083117
고점/NNG,2034,1238,3272,0.0003199204760114,0.0002444776777859,1.308587675197101
공시/NNG,1997,1199,3196,0.0003141008803318,0.0002367760385018,1.3265737627809886
청약/NNG,2036,1084,3120,0.0003202350487509,0.0002140660765104,1.4959635546703305
돌아/VV,1922,1146,3068,0.0003023044026027,0.0002263097081927,1.3357995333777308
사회/NNG,1934,1075,3009,0.0003041918390394,0.0002122887751372,1.4329153241512964
경쟁력/NNG,1935,1073,3008,0.0003043491254091,0.0002118938192764,1.436328470780016
분야/NNG,1998,969,2967,0.0003142581667015,0.000191356114519,1.64226874846101
제보/NNG,2287,677,2964,0.0003597139275507,0.0001336925588538,2.690605450554461
그러/VV,1832,1035,2867,0.0002881486293279,0.0002043896579228,1.4098004383214
밸류/NNG,1975,862,2837,0.0003106405801979,0.0001702259759704,1.8248717825052247
fed/NNG;금리/NNG;인하/NNG,1775,1035,2810,0.0002791833062538,0.0002043896579228,1.36593656005485
풀이/NNG,1736,1052,2788,0.0002730491378347,0.0002077467827389,1.3143363003503197
대기업/NNG,1732,1047,2779,0.0002724199923558,0.0002067593930871,1.3175700909563342
원대/NNG,1785,945,2730,0.000280756169951,0.0001866166441903,1.5044540703702711
총선/NNG,1745,958,2703,0.0002744647151622,0.000189183857285,1.4507829531600829
분양가/NNG,1926,766,2692,0.0003029335480816,0.0001512680946559,2.002626851159444
다소/MAG,1682,995,2677,0.0002645556738698,0.0001964905407083,1.3464041216237168
팬데믹/NNG,1690,930,2620,0.0002658139648276,0.0001836544752349,1.4473590392366746
엔달러/NNG,1610,984,2594,0.0002532310552499,0.0001943182834744,1.3031766786026562
배럴/NNG,1625,909,2534,0.0002555903507957,0.0001795074386974,1.4238426699776885
고물가/NNG,1895,582,2477,0.0002980576706203,0.0001149321554696,2.593335776244692
전세가격/NNG,1531,873,2404,0.000240805432042,0.0001723982332044,1.3967975632121803
전쟁/NNG,1616,765,2381,0.0002541747734683,0.0001510706167255,1.6824898115697984
전개/NNG,1464,892,2356,0.0002302672452707,0.0001761503138812,1.3072201814296158
주거/NNG,1608,742,2350,0.0002529164825105,0.0001465286243272,1.7260551218010596
공공/NNG,1508,831,2339,0.0002371878455384,0.0001641041601293,1.4453493765884706
방침/NNG,1456,872,2328,0.000229008954313,0.000172200755274,1.3298951793127385
가까이/MAG,1488,826,2314,0.000234042118144,0.0001631167704775,1.434813339296302
같이/MAG,1444,850,2294,0.0002271215178763,0.0001678562408061,1.3530716331164043
피해/NNG,1518,768,2286,0.0002387607092356,0.0001516630505166,1.5742839697762443
여부/NNG,1435,840,2275,0.0002257059405488,0.0001658814615025,1.3606459607025247
전용/NNG,1455,789,2244,0.0002288516679433,0.0001558100870541,1.4687859577647584
단지/NNG,1595,627,2222,0.0002508717597041,0.0001238186623358,2.0261223548330283
공사비/NNG,1757,444,2201,0.0002763521515988,8.768020107992782e-05,3.1518193183313588
관측/NNG,1376,809,2185,0.0002164260447353,0.0001597596456614,1.3546978264717109
주주/NNG,1384,768,2152,0.0002176843356931,0.0001516630505166,1.4353155561069315
후퇴/NNG,1451,677,2128,0.0002282225224644,0.0001336925588538,1.7070697458480646
저축/NNG,1333,783,2116,0.0002096627308374,0.000154625219472,1.3559413629503527
건설업/NNG,1367,731,2098,0.0002150104674079,0.0001443563670933,1.4894422167671562
통장/NNG,1398,699,2097,0.0002198863448692,0.0001380370733217,1.5929513686273462
아울러/MAG,1293,776,2069,0.0002033712760485,0.0001532428739595,1.3271173451257463
절반/NNG,1265,775,2040,0.0001989672576964,0.0001530453960291,1.3000538589119954
낙폭/NNG,1274,760,2034,0.0002003828350238,0.0001500832270737,1.3351447655468678
농산물/NNG,1440,583,2023,0.0002264923723975,0.0001151296333999,1.9672812785792269
재원/NNG,1319,691,2010,0.0002074607216613,0.0001364572498788,1.5203349169460705
협력/NNG,1365,643,2008,0.0002146958946684,0.0001269783092216,1.690807634662774
입주/NNG,1439,554,1993,0.0002263350860277,0.0001094027734195,2.068824024778656
수신/NNG,1309,678,1987,0.0002058878579641,0.0001338900367842,1.5377384524581093
대차대조표/NNG,1238,740,1978,0.0001947205257139,0.0001461336684665,1.3324822934869285
에서/NNG,1305,671,1976,0.0002052587124852,0.0001325076912716,1.5490324411763683
집값/NNG,1368,580,1948,0.0002151677537776,0.0001145371996089,1.878584027829491
체계/NNG,1223,720,1943,0.0001923612301681,0.0001421841098593,1.3529024471050308
상방/NNG,1343,551,1894,0.0002112355945346,0.0001088103396284,1.941319136176521
물론/MAG,1201,681,1882,0.0001889009300343,0.0001344824705752,1.4046509498689006
개최/NNG,1169,706,1875,0.0001838677662032,0.0001394194188342,1.318810304479722
외환/NNG,1185,663,1848,0.0001863843481187,0.0001309278678288,1.4235651371217233
우선/MAG,1235,606,1841,0.0001942486666048,0.0001196716257982,1.6231806437745646
한미/NNG,1148,690,1838,0.0001805647524391,0.0001362597719485,1.325150848684198
밀리/VV,1217,607,1824,0.0001914175119498,0.0001198691037286,1.5968878217623397
금융사/NNG,1180,628,1808,0.0001855979162701,0.0001240161402662,1.4965625915447998
경매/NNG,1237,556,1793,0.0001945632393442,0.0001097977292802,1.772015146575564
품목/NNG,1205,565,1770,0.0001895300755131,0.0001115750306535,1.698678229376949
고조/NNG,1204,565,1769,0.0001893727891434,0.0001115750306535,1.6972685379002874
적극/NNG,1107,651,1758,0.0001741160112805,0.0001285581326644,1.354375702819103
민생/NNG,1173,575,1748,0.0001844969116821,0.0001135498099571,1.624810395999893
착공/NNG,1169,561,1730,0.0001838677662032,0.000110785118932,1.659679278008349
케이뱅크/NNG,1386,319,1705,0.0002179989084325,6.299545978490309e-05,3.460549524949062
시세/NNG,1095,604,1699,0.0001722285748439,0.0001192766699375,1.4439418449064103
기다리/VV,1120,571,1691,0.0001761607340869,0.0001127598982356,1.5622640392842624
협약/NNG,1110,580,1690,0.0001745878703897,0.0001145371996089,1.5242896717037535
생활/NNG,1124,561,1685,0.0001767898795658,0.000110785118932,1.5957908541329209
충당금/NNG,1178,504,1682,0.0001852833435307,9.952887690153968e-05,1.861603881193466
브랜드/NNG,1196,481,1677,0.0001881144981857,9.498688450325512e-05,1.980426025861025
긴장/NNG,1231,445,1676,0.0001936195211259,8.7877679010288e-05,2.203284421101419
위치/NNG,1042,633,1675,0.0001638923972487,0.000125003529918,1.3111021533251932
적립/NNG,1164,495,1659,0.0001830813343546,9.775157552829788e-05,1.872924639477001
실적발표/NNG,1110,547,1657,0.0001745878703897,0.000108020427907,1.6162486464134864
단지/MAG,1226,426,1652,0.0001928330892773,8.412559833344424e-05,2.2922046689402893
농협/NNG,1030,596,1626,0.0001620049608121,0.0001176968464946,1.3764596557769857
급감/NNG,1020,605,1625,0.0001604320971148,0.0001194741478679,1.342818509090821
불균형/NNG,1061,563,1624,0.0001668808382734,0.0001111800747927,1.5009959166195508
자영업자/NNG,1065,558,1623,0.0001675099837523,0.0001101926851409,1.5201552039320103
토지/NNG,1042,576,1618,0.0001638923972487,0.0001137472878874,1.4408466372479989
사기/NNG,1249,347,1596,0.0001964506757808,6.852484183498862e-05,2.8668533997342296
어떻게/MAG,1123,470,1593,0.0001766325931961,9.281462726929295e-05,1.9030684967750104
헤드라인/NNG,989,601,1590,0.0001555562196535,0.0001186842361464,1.3106729647025337
세수/NNG,1136,452,1588,0.0001786773160024,8.92600245228094e-05,2.001761896859142
참석/NNG,1023,501,1524,0.000160903956224,9.893644311045908e-05,1.6263365769518714
공단채/NNG,994,525,1519,0.0001563426515021,0.0001036759134391,1.5079939623005545
중견/NNG,1117,386,1503,0.0001756888749777,7.622648111903633e-05,2.304827304089049
특례/NNG,978,524,1502,0.0001538260695866,0.0001034784355087,1.4865519451503288
법인세/NNG,982,515,1497,0.0001544552150655,0.0001017011341355,1.518716741739858
판매가격/NNG,1042,448,1490,0.0001638923972487,8.84701128013686e-05,1.8525171050331413
공급망/NNG,993,495,1488,0.0001561853651324,9.775157552829788e-05,1.597778493986823
공격/NNG,1127,336,1463,0.0001772617386749,6.635258460102645e-05,2.671512191135445
목소리/NNG,970,488,1458,0.0001525677786288,9.636923001577652e-05,1.5831586348038174
가속/NNG,929,529,1458,0.0001461190374703,0.0001044658251605,1.3987257291633313
준비금/NNG,904,553,1457,0.0001421868782273,0.0001092052954891,1.3020145002162034
기여도/NNG,917,533,1450,0.0001442316010336,0.0001052557368819,1.3702968152263382
부채한도/NNG,994,452,1446,0.0001563426515021,8.92600245228094e-05,1.75154165975175
개인사업자/NNG,897,546,1443,0.0001410858736392,0.0001078229499766,1.3084957670867483
이렇게/MAG,952,489,1441,0.0001497366239739,9.656670794613671e-05,1.55060296823439
일각/NNG,896,545,1441,0.0001409285872695,0.0001076254720463,1.3094352534771578
재건축/NNG,1046,387,1433,0.0001645215427276,7.642395904939654e-05,2.1527482320209352
부품/NNG,901,525,1426,0.0001417150191181,0.0001036759134391,1.366903983936418
산정/NNG,884,500,1384,0.0001390411508329,9.873896518009888e-05,1.408169009866574
사업자/NNG,910,471,1381,0.0001431305964456,9.301210519965314e-05,1.5388383709669693
효율/NNG,896,481,1377,0.0001409285872695,9.498688450325512e-05,1.4836636447922058
걸리/VV,977,371,1348,0.0001536687832169,7.326431216363337e-05,2.097457529850293
우대/NNG,849,488,1337,0.0001335361278926,9.636923001577652e-05,1.3856718360293203
월비/NNG,839,486,1325,0.0001319632641954,9.597427415505612e-05,1.374985800697884
갈수록/MAG,858,465,1323,0.0001349517052201,9.182723761749195e-05,1.4696261013787777
법안/NNG,848,473,1321,0.0001333788415229,9.340706106037356e-05,1.427931036570813
각종/NNG,898,420,1318,0.0001412431600089,8.294073075128307e-05,1.7029408678897104
수렴/NNG,896,419,1315,0.0001409285872695,8.274325282092287e-05,1.7032033726612197
타격/NNG,827,481,1308,0.0001300758277588,9.498688450325512e-05,1.3694082971463777
유예/NNG,819,485,1304,0.000128817536801,9.577679622469592e-05,1.3449764648513365
정비/NNG,921,380,1301,0.0001448607465125,7.504161353687516e-05,1.9304055401391915
채널/NNG,847,452,1299,0.0001332215551532,8.92600245228094e-05,1.4925108509152236
조언/NNG,804,481,1285,0.0001264582412552,9.498688450325512e-05,1.3313231812644346
준공/NNG,899,381,1280,0.0001414004463787,7.523909146723535e-05,1.879348137002604
체감/NNG,816,463,1279,0.0001283456776919,9.143228175677156e-05,1.403723884233169
매수전략/NNG,890,381,1271,0.0001399848690512,7.523909146723535e-05,1.860533750758974
보증금/NNG,850,410,1260,0.0001336934142624,8.096595144768108e-05,1.6512300772356638
수요자/NNG,887,368,1255,0.000139513009942,7.267187837255278e-05,1.9197661195277933
상가/NNG,834,419,1253,0.0001311768323468,8.274325282092287e-05,1.5853477821422517
보조금/NNG,813,438,1251,0.0001278738185827,8.649533349776662e-05,1.4783897975959273
말씀/NNG,855,389,1244,0.000134479846111,7.681891491011693e-05,1.75060850922414
지정학/NNG;위험/NNG,925,316,1241,0.0001454898919914,6.24030259938225e-05,2.3314557214878087
토스/NNG,1011,228,1239,0.0001590165197874,4.502496812212509e-05,3.5317408633382605
월중/NNG,784,447,1231,0.0001233125138608,8.82726348710084e-05,1.396950640943892
식료품/NNG,822,408,1230,0.0001292893959102,8.057099558696069e-05,1.604664246337841
원칙/NNG,811,416,1227,0.0001275592458433,8.215081902984227e-05,1.5527446634095887
과잉/NNG,761,463,1224,0.0001196949273572,9.143228175677156e-05,1.3091101420360804
설계/NNG,872,348,1220,0.0001371537143962,6.872231976534883e-05,1.9957666572457555
마진/NNG,758,461,1219,0.0001192230682481,9.103732589605116e-05,1.309606439717493
매도전략/NNG,793,420,1213,0.0001247280911883,8.294073075128307e-05,1.5038219468112923
차질/NNG,783,425,1208,0.0001231552274911,8.392812040308406e-05,1.4673893195708376
동행/NNG,761,447,1208,0.0001196949273572,8.82726348710084e-05,1.3559686706100789
원가/NNG,806,399,1205,0.0001267728139947,7.879369421371892e-05,1.608920805906818
방문/NNG,770,435,1205,0.0001211105046847,8.590289970668603e-05,1.4098535101644327
자본비율/NNG,745,446,1191,0.0001171783454417,8.807515694064821e-05,1.3304358403894314
담보대출/NNG,734,446,1180,0.0001154481953748,8.807515694064821e-05,1.3107918212695877
협의/NNG,756,415,1171,0.0001189084955086,8.195334109948208e-05,1.4509291984123778
수행/NNG,723,440,1163,0.0001137180453079,8.689028935848702e-05,1.308754363088149
창업/NNG,776,387,1163,0.000122054222903,7.642395904939654e-05,1.597067522034652
합리적/VAX,741,417,1158,0.0001165491999628,8.234829696020247e-05,1.415320100902714
역량/NNG,732,420,1152,0.0001151336226353,8.294073075128307e-05,1.388143335518116
신탁/NNG,759,390,1149,0.0001193803546178,7.701639284047713e-05,1.5500642163950715
증권가/NNG,721,426,1147,0.0001134034725684,8.412559833344424e-05,1.348025747394738
속도조절/NNG,823,319,1142,0.0001294466822799,6.299545978490309e-05,2.054857329749696
명확/NNG,777,363,1140,0.0001222115092728,7.168448872075179e-05,1.704852911051581
점수/NNG,844,285,1129,0.000132749696044,5.628121015265637e-05,2.358685886178036
갖추/VV,735,394,1129,0.0001156054817445,7.780630456191792e-05,1.4858112385039333
금리/NNG;인하/NNG;지연/NNG,927,202,1129,0.0001458044647308,3.989054193275995e-05,3.6551136601919554
인력/NNG,719,403,1122,0.000113088899829,7.95836059351597e-05,1.421007486405784
금융자산/NNG,784,318,1102,0.0001233125138608,6.279798185454289e-05,1.9636381651003765
육박/NNG,721,378,1099,0.0001134034725684,7.464665767615476e-05,1.5192036200797838
개국/NNG,817,279,1096,0.0001285029640616,5.509634257049518e-05,2.3323320218074226
대환대출/NNG,687,402,1089,0.0001080557359979,7.93861280047995e-05,1.361141281401725
임대료/NNG,718,370,1088,0.0001129316134593,7.306683423327318e-05,1.545593354965452
오래/MAG,733,354,1087,0.0001152909090051,6.990718734751002e-05,1.6491996514178595
서프라이즈/NNG,675,410,1085,0.0001061682995613,8.096595144768108e-05,1.3112709436871448
디스인플레이션/NNG,687,396,1083,0.0001080557359979,7.820126042263832e-05,1.3817646341502356
커버드본드/NNG,867,209,1076,0.0001363672825476,4.127288744528133e-05,3.3040402789471512
납부/NNG,666,405,1071,0.0001047527222338,7.997856179588009e-05,1.309760014204707
기후/NNG,775,290,1065,0.0001218969365333,5.726859980445735e-05,2.128512604631368
조합/NNG,697,364,1061,0.0001096285996951,7.188196665111199e-05,1.5251196482599727
고환/NNG,885,173,1058,0.0001391984372026,3.416368195231422e-05,4.074456535361853
보험료/NNG,658,398,1056,0.000103494431276,7.859621628335871e-05,1.3167864328602936
피해자/NNG,896,154,1050,0.0001409285872695,3.0411601275470457e-05,4.634040345097734
당장/MAG,696,348,1044,0.0001094713133254,6.872231976534883e-05,1.592951368627346
협회/NNG,678,364,1042,0.0001066401586704,7.188196665111199e-05,1.4835453680348083
유발/NNG,687,354,1041,0.0001080557359979,6.990718734751002e-05,1.5457028110833144
건물/NNG,695,335,1030,0.0001093140269557,6.615510667066626e-05,1.6523898525313516
비상/NNG,699,330,1029,0.0001099431724346,6.516771701886527e-05,1.6870803131371437
시공사/NNG,670,345,1015,0.0001053818677127,6.812988597426823e-05,1.5467788651888723
강달러/NNG,828,186,1014,0.0001302331141285,3.673089504699679e-05,3.545601433396352
스타트업/NNG,672,340,1012,0.0001056964404521,6.714249632246724e-05,1.5742107642905538
꼽힌다/VV,649,363,1012,0.0001020788539485,7.168448872075179e-05,1.424001981045658
국토교통부/NNG,664,348,1012,0.0001044381494944,6.872231976534883e-05,1.5197122252421806
잇따르/VV,651,355,1006,0.000102393426688,7.01046652778702e-05,1.4605793534878906
주제/NNG,685,320,1005,0.0001077411632585,6.319293771526328e-05,1.7049557617339566
신축/NNG,756,248,1004,0.0001189084955086,4.897452672932905e-05,2.427966198956197
파급효과/NNG,623,364,987,9.798940833586302e-05,7.188196665111199e-05,1.3631987673830173
구두/NNG,878,108,986,0.0001380974326145,2.132761647890136e-05,6.475052322475972
필수/NNG,614,371,985,9.657383100837864e-05,7.326431216363337e-05,1.318156523365486
구역/NNG,634,351,985,9.971955840278838e-05,6.931475355642942e-05,1.438648387050908
물가/NNG;안정/NNG,614,366,980,9.657383100837864e-05,7.227692251183238e-05,1.336164126143703
화폐/NNG,622,357,979,9.783212196614252e-05,7.04996211385906e-05,1.3876971306529542
사정/NNG,624,355,979,9.814669470558352e-05,7.01046652778702e-05,1.4000023296105126
탄소/NNG,620,357,977,9.751754922670156e-05,7.04996211385906e-05,1.383235082001337
보복/NNG,846,130,976,0.0001330642687835,2.567213094682571e-05,5.183218684072057
환원/NNG,677,297,974,0.0001064828723007,5.865094531697874e-05,1.8155354824254435
지나치/VA,616,351,967,9.68884037478196e-05,6.931475355642942e-05,1.3978034801630272
개정안/NNG,667,297,964,0.0001049100086035,5.865094531697874e-05,1.7887181193172388
배상/NNG,780,183,963,0.0001226833683819,3.613846125591619e-05,3.3948143921566394
배당금/NNG,680,281,961,0.0001069547314099,5.549129843121557e-05,1.927414467378284
소통/NNG,601,357,958,9.452910820201232e-05,7.04996211385906e-05,1.3408456198109735
가격/NNG;상승/NNG,609,347,956,9.578739915977622e-05,6.852484183498862e-05,1.397849255755121
출연/NNG,678,273,951,0.0001066401586704,5.391147498833399e-05,1.978060490713078
고가/NNG,617,331,948,9.70456901175401e-05,6.536519494922546e-05,1.48466917589588
공매/NNG,676,266,942,0.000106325585931,5.252912947581261e-05,2.024126175173094
대체투자/NNG,589,352,941,9.264167176536647e-05,6.951223148678961e-05,1.3327391422180497
