ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,category
고객/NNG,11308,8721,20029,0.00177859426879926,0.0017222050306712848,1.0327424651093928,중립
채권시장/NNG,9748,10238,19986,0.0015332275320353013,0.0020217790510277047,0.7583556330034855,비둘기파
분석/NNG,11847,8035,19882,0.0018633716220786023,0.001586735170444189,1.1743431776059845,중립
장기/NNG,11230,8431,19661,0.0017663259319610622,0.0016649364308668273,1.0608969202754772,중립
은행채/NNG,9403,10170,19573,0.0014789637344817335,0.0020083505517632114,0.7364071641692691,비둘기파
약세/NNG,10519,8841,19360,0.0016544953230897964,0.0017459023823145085,0.9476448052590801,중립
성장률/NNG,11193,8090,19283,0.0017605063362814042,0.001597596456614,1.1019718584082747,중립
요인/NNG,11036,8217,19253,0.001735812376235288,0.0016226761537697452,1.069721997333053,중립
조원/NNG,9602,9563,19165,0.0015102637220561104,0.0018884814480345713,0.799723885891445,중립
반영/NNG,10431,8733,19164,0.0016406541225543936,0.0017245747658356072,0.9513383560146483,중립
변화/NNG,9836,9256,19092,0.0015470687325707042,0.0018278557234139906,0.8463844890783587,중립
인하/VV,10481,8350,18831,0.0016485184410404178,0.0016489407185076514,0.9997439098552823,중립
목표/NNG,11450,7249,18699,0.0018009289332995692,0.0014315175171810736,1.2580558125798809,중립
여전채/NNG,8915,9721,18636,0.0014022079860581361,0.0019196829610314825,0.7304372724674822,비둘기파
흐름/NNG,10362,8193,18555,0.00162980136304368,0.0016179366834411003,1.0073332162648945,중립
상승률/NNG,11455,6777,18232,0.0018017153651481716,0.0013383079340510602,1.346263680657094,매파
밝히/VV,10957,7192,18149,0.0017233867530273693,0.0014202612751505425,1.2134293761158113,중립
실적/NNG,10982,7109,18091,0.0017273189122703815,0.001403870606930646,1.230397519360354,중립
제공/NNG,9743,7728,17471,0.0015324411001866988,0.0015261094458236084,1.0041488861630585,중립
해외/NNG,9855,7576,17431,0.0015500571735953934,0.0014960928004088584,1.0360702044497423,중립
가계/NNG,9584,7549,17133,0.0015074325674011417,0.001490760896289133,1.0111833300387127,중립
수출/NNG,9795,7325,17120,0.0015406199914121642,0.0014465258398884487,1.0650483724030617,중립
소비/NNG,10817,6178,16995,0.0017013666612665014,0.0012200186537653019,1.3945415146035935,매파
예정/NNG,9761,7189,16950,0.0015352722548416676,0.0014196688413594617,1.0814298448443125,중립
이어지/VV,9972,6905,16877,0.0015684596788526903,0.0013635851091371655,1.1502469984034682,중립
기조/NNG,9477,7175,16652,0.0014906029258410496,0.001416904150334419,1.0520139456781434,중립
가장/MAG,10080,6561,16641,0.0015854466067825028,0.0012956527010932577,1.2236663462706636,중립
기관/NNG,8872,7516,16388,0.0013954446721601553,0.0014842441245872464,0.9401719360339154,중립
중심/NNG,9085,7140,16225,0.001428946668910619,0.001409992422771812,1.0134427999985602,중립
전환/NNG,8874,7338,16212,0.0013957592448995962,0.0014490930529831312,0.9631950426001001,중립
주가/NNG,8973,7183,16156,0.0014113305955019244,0.0014184839737773007,0.994957025664289,중립
나오/VV,9990,6154,16144,0.001571290833507659,0.001215279183436657,1.2929463903629501,중립
상품/NNG,9410,6628,16038,0.0014800647390697769,0.0013088837224273907,1.130783975466455,중립
불확실성/NNG,9682,6326,16008,0.0015228466316337492,0.0012492453874586112,1.2190132114329721,중립
공급/NNG,9880,6057,15937,0.0015539893328384055,0.0011961238241917178,1.2991876772361053,중립
매수/NNG,7776,7853,15629,0.0012230588109465022,0.0015507941871186332,0.7886661048291254,중립
민평/NNG,7235,8393,15628,0.001137966884927719,0.0016574322695131398,0.6865842459203413,비둘기파
사업/NNG,10396,5189,15585,0.0016351490996141765,0.0010247129806390661,1.5957142443871546,매파
주식/NNG,8388,7121,15509,0.00131931806921544,0.0014062403420949682,0.9381881814384342,중립
비중/NNG,8498,6922,15420,0.0013366195698846933,0.001366942233953289,0.977817157656399,중립
진행/NNG,8971,6357,15328,0.0014110160227624835,0.0012553672032997773,1.123986686169256,중립
확인/NNG,8507,6801,15308,0.0013380351472121778,0.001343047404379705,0.9962679968322918,중립
증시/NNG,8564,6684,15248,0.0013470004702862454,0.001319942486527562,1.0204993657184762,중립
지역/NNG,9148,5867,15015,0.0014388557102030094,0.0011586030174232803,1.241888454082407,중립
가능/NNG,8581,6392,14973,0.0013496743385714937,0.001262278930862384,1.0692362088697793,중립
압력/NNG,8663,6283,14946,0.0013625718208885736,0.0012407538364531225,1.0981806228249802,중립
어렵/VA,8339,6534,14873,0.0013116110370991361,0.0012903207969735323,1.016499958905987,중립
부진/NNG,7904,6955,14859,0.0012431914662707245,0.0013734590056551756,0.9051536748835761,중립
내리/VV,8960,5887,14847,0.001409285872695558,0.0011625525760304842,1.2122340974096333,중립
신용등급/NNG,7001,7780,14781,0.0011011618744131253,0.0015363782982023386,0.7167257411156845,비둘기파
고려/NNG,8525,6116,14641,0.0013408663018671465,0.0012077750220829695,1.1101954232789508,중립
국가/NNG,7857,6716,14573,0.0012357990068938617,0.0013262617802990882,0.9317911631406388,중립
강화/NNG,8226,6251,14477,0.0012938376773207211,0.0012344345426815962,1.0481217371883338,중립
단기/NNG,7491,6848,14339,0.0011782321955761635,0.0013523288671066344,0.8712615874990836,중립
고용/NNG,6723,7402,14125,0.00105743626363083,0.001461731640526184,0.7234134052473418,비둘기파
내용/NNG,7638,6474,14112,0.001201353291925075,0.0012784721211519204,0.9396789120772064,중립
개인/NNG,7717,6293,14010,0.0012137789151329935,0.0012427286157567245,0.9767047284043565,중립
전략/NNG,8764,5237,14001,0.0013784577442303428,0.0010341919212963557,1.3328838833922152,매파
특히/MAG,8341,5633,13974,0.001311925609838577,0.001112393181718994,1.1793722142482421,중립
특수채/NNG,6164,7564,13728,0.0009695131829570782,0.0014937230652445359,0.6490581858949604,비둘기파
주택/NNG,8651,4950,13601,0.0013606843844519278,0.000977515755282979,1.3919820494944617,매파
신용스프레드/NNG,6273,7197,13470,0.0009866573972566112,0.0014212486648023433,0.6942186977490165,비둘기파
조사/NNG,7380,6076,13456,0.0011607734085371897,0.0011998759048685616,0.9674112162993594,중립
gdp/NNG,6383,7031,13414,0.0010039588979258646,0.0013884673283625505,0.7230698752630031,비둘기파
보유/NNG,7067,6233,13300,0.0011115427748146773,0.0012308799399351126,0.9030472743533977,중립
마감/NNG,7239,6055,13294,0.001138596030406601,0.0011957288683309975,0.9522192367872303,중립
유동성/NNG,6366,6909,13275,0.0010012850296406163,0.0013643750208586064,0.7338781598409093,비둘기파
시작/NNG,7822,5425,13247,0.0012302939839536446,0.0010713177722040728,1.1483931433551247,중립
다시/MAG,7526,5659,13185,0.0011837372185163806,0.0011175276079083592,1.0592465100096666,중립
신규/NNG,7692,5443,13135,0.0012098467558899813,0.0010748723749505564,1.1255724717510147,중립
최대/NNG,7938,5186,13124,0.001248539202841221,0.0010241205468479856,1.2191330470655488,중립
변동성/NNG,7252,5793,13045,0.0011406407532129673,0.0011439896505766258,0.9970726156814702,중립
매입/NNG,6677,6365,13042,0.0010502010906236875,0.0012569470267426589,0.8355173832148302,중립
유가/NNG,8199,4684,12883,0.001289590945338268,0.0009249866258071663,1.3941725311032889,매파
설명/NNG,7959,4853,12812,0.0012518422166053512,0.0009583603960380398,1.3062332518962547,매파
대해/VV,7226,5540,12766,0.0011365513076002347,0.0010940277341954957,1.0388688257853071,중립
산업/NNG,6824,5803,12627,0.0010733221869725991,0.0011459644298802277,0.9366103859652773,중립
계약/NNG,6408,6163,12571,0.0010078910571688767,0.0012170564848098988,0.8281382743926686,중립
