date,title,call_rate
2024-03-29,“집 팔겠다는 사람은 많아요 그런데…” 서울 아파트값 반등은 했지만,3.574
2024-03-29,"“인수합병 언급만 벌써”…삼성·LG, 새 성장 엔진 확보 ‘초읽기’?",3.574
2024-03-29,“집 팔겠다는 사람은 많아요 그런데…” 서울 아파트값 반등은 했지만,3.574
2024-03-28,미 주식 대박에 코인도 등록…금통위원 재산변동 살펴보니 [강진규의 BOK워치],3.502
2024-03-28,융복합 본격화 속 재편되는 글로벌 핀테크 투자 시장  [삼정KPMG CFO Lounge],3.502
2024-03-28,"독일 성장률 전망 1.2→0.1% 대폭 꺾였다…""올해 다시 침체""",3.502
2024-03-28,화제의 그 시리즈…삼성증권 'ETF 찍먹 시즌3' 공개,3.502
2024-03-28,"하나은행, hy와 행복동행 금융 지원",3.502
2024-03-28,"정원주 대우건설 회장 ""해외 도시개발사업 확대…세계 건설 디벨로퍼로 성장""",3.502
2024-03-28,美 연착륙 기대에 상승…S&P500지수 '역대 최고치' [뉴욕증시 브리핑],3.502
2024-03-28,일본 마이너스 금리 끝났는데…엔화는 안 오르네,3.502
2024-03-28,상업용 부동산 이어 주거용 부동산까지…美 은행 연체 위기 직면,3.502
2024-03-28,"정원주 대우건설 회장 ""해외 도시개발사업 확대…세계 건설 디벨로퍼로 성장""",3.502
2024-03-28,직장인 빚 6년 만에 줄었지만…연체율은 4년 만에 올랐다,3.502
2024-03-28,美 연착륙 기대에 상승…S&P500지수 '역대 최고치' [뉴욕증시 브리핑],3.502
2024-03-28,"원·달러 환율, 5개월 만에 1350원대 진입…또 연고점 경신",3.502
2024-03-28,[마켓칼럼] 시장은 자연스러운 선수 교체를 반영하고 있을 뿐,3.502
2024-03-28,"코인베이스, SEC와의 소송전 못 피했다 (영상)",3.502
2024-03-28,익숙치 않은 길…환율 1350원대 진입 기로[외환브리핑],3.502
2024-03-28,[단독]‘가짜 유재석' 리딩방 진화에…금감원 조사기간만 1년 넘어,3.502
2024-03-28,"한은 ""가계부채 비율 100% 이하 기대…PF부실은 걱정""[일문일답]",3.502
2024-03-28,"S&P, 美 장기 신용등급 'AA+'부여...전망은 '안정적'",3.502
2024-03-28,"월러 美 연준 이사 발언에 국고채 금리 상승 출발… 10년물, 1.1bp↑",3.502
2024-03-28,"원·달러 환율, 장중 1350원 돌파…넉 달여만에 ‘최고’(상보)",3.502
2024-03-28,"하나은행, ‘야쿠르트 아줌마’ 금융 지원",3.502
2024-03-28,"NDF, 1347.5원/1348.0원…1.3원 상승",3.502
2024-03-28,[뉴스새벽배송]S&P500 역대 최고 마감…엔비디아 2.5%↓,3.502
2024-03-28,"韓, WGBI 관찰대상국 유지… 아시아 장서 미국채 금리 주시[채권브리핑]",3.502
2024-03-28,"달러·엔 환율, 日개입 경계감에 151엔대 초반으로 하락",3.502
2024-03-28,"“통화 변동성 커져”…오늘 증시, 외인 매도 주의보",3.502
2024-03-28,'매파' 발톱 드러낸 월러 “금리인하 서두르지 않을 것”,3.502
2024-03-28,S&P500 사상 최고치…PCE발표에 숨죽이는 증시[월스트리트in],3.502
2024-03-28,[속보]뉴욕증시 사흘 만에 반등 성공…S&P500 사상 최고치,3.502
2024-03-28,이창용 한은 총재 자산 44.7억…금통위원 5명 평균 56.4억[재산공개],3.502
2024-03-28,"김주현 금융위원장, 폴란드 금융당국 수장과 회담…""국내 은행 진출 지원""",3.502
2024-03-28,"‘밀리면 사자’ 국고채 금리, 상승폭 축소… 10년물, 0.8bp↑[채권분석]",3.502
2024-03-28,"日 정부 ""과도한 환율 변동…어떤 옵션도 배제하지 않겠다""",3.502
2024-03-28,"“中 올해 정부 주도 성장, 소비재·서비스업 기회 잡아야”",3.502
2024-03-28,"하나증권 ""금값 상승 추가 동력 약해, 유가는 점진적 상승""",3.502
2024-03-28,"코스피, 기관 매도 지속에 2750선 공방…삼성전자 ‘52주 신고가’",3.502
2024-03-28,"""올해 리츠시장, 하반기 재평가 된다…외국인·기관 쓸어담는 중""",3.502
2024-03-28,"[마켓인]한국항공우주, 회사채 수요예측서 2조 넘게 모아",3.502
2024-03-28,"엔화 34년 만에 최저…정부는 경고, 일본은행은 비둘기파 기조",3.502
2024-03-28,"수상한 엔저…금리인상에도 '풀썩', 3대 요인은",3.502
2024-03-28,"기재부, 4월 국고채 14조원 경쟁입찰 방식 발행",3.502
2024-03-28,"[마켓인]국민연금 ""의결권 행사 기준에 이사회 성별 다양성 추가""",3.502
2024-03-28,"국고채 금리, 일제히 1bp 미만 상승… 10년물, 0.4bp↑[채권마감]",3.502
2024-03-28,[마켓인] 내년부터 건설사 곡소리 더 커진다…“손실 확대 본격화”,3.502
2024-03-28,시진핑 지시에…中 인민은행 20여년만 국채 매입 나설까,3.502
2024-03-28,[코스피 마감]기관 매도세에 2750선 무너져…‘8만 전자’ 안착,3.502
2024-03-28,"멕시코 페소화 가치, 미국 달러화 대비 2015년 이후 최고",3.502
2024-03-28,"맥 못추는 엔화가치…""3개월안에 155엔까지 오를 수도""",3.502
2024-03-28,"한은 “RP 7일물 매각, 3.50%에 6조원 낙찰… 응찰 23.7조원”",3.502
