ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score
기사/NNG,1289,1650,2939,0.0002027421305697,0.0003258385850943,0.6222164588365604
저점/NNG,1435,1495,2930,0.0002257059405488,0.0002952295058884,0.7645101050101142
미선/NNG,1299,1585,2884,0.0002043149942669,0.0003130025196209,0.6527583053144866
잔존만기/NNG,850,1901,2751,0.0001336934142624,0.0003754055456147,0.3561306321234204
부양/NNG,1162,1576,2738,0.0001827667616152,0.0003112252182476,0.5872492037896498
우호적/VAX,1292,1444,2736,0.0002032139896788,0.0002851581314401,0.7126361385964443
편입/NNG,1222,1509,2731,0.0001922039437984,0.0002979941969135,0.6449922373964934
매크로/NNG,1333,1387,2720,0.0002096627308374,0.0002739018894095,0.7654665372675747
전재/NNG,521,2153,2674,8.194619862437341e-05,0.0004251699840655,0.1927374972259283
합계/NNG,1028,1644,2672,0.0001616903880726,0.0003246537175121,0.4980395398263114
비농업/NNG,1176,1492,2668,0.0001849687707912,0.0002946370720974,0.6277851238290078
위험자산/NNG,1255,1392,2647,0.0001973943939992,0.0002748892790613,0.7180869136592383
에스/NNG,1223,1404,2627,0.0001923612301681,0.0002772590142257,0.6937961267205285
거래대금/NNG,1274,1341,2615,0.0002003828350238,0.000264817904613,0.7566815971779415
포지션/NNG,1260,1338,2598,0.0001981808258478,0.0002642254708219,0.7500443663940419
시중/NNG,1155,1314,2469,0.0001816657570271,0.0002594860004932,0.7000984896364478
헤알/NNG,1134,1293,2427,0.000178362743263,0.0002553389639557,0.6985331987716205
투자등급/NNG,1095,1268,2363,0.0001722285748439,0.0002504020156967,0.6878082605074699
박스권/NNG,1060,1242,2302,0.0001667235519037,0.0002452675895073,0.6797618561775309
지점/NNG,977,1255,2232,0.0001536687832169,0.000247834802602,0.6200452140035527
레버리지/NNG,1093,1135,2228,0.0001719140021044,0.0002241374509588,0.7670025752906121
기타법인/NNG,962,1253,2215,0.0001513094876711,0.0002474398467413,0.611500086440346
스왑/NNG,984,1225,2209,0.0001547697878049,0.0002419104646912,0.6397812843793096
우량등급/NNG,1047,1097,2144,0.0001646788290973,0.0002166332896051,0.760173237444317
답변/NNG,1004,1136,2140,0.0001579155151993,0.0002243349288891,0.7039274533899011
만기별/NNG,1043,1085,2128,0.0001640496836184,0.0002142635544408,0.7656443675015309
합의/NNG,995,1074,2069,0.0001564999378718,0.0002120912972068,0.737889484070861
우량/NNG,994,1071,2065,0.0001563426515021,0.0002114988634157,0.7392127266179188
섹터별/NNG,913,1125,2038,0.0001436024555548,0.0002221626716552,0.6463842664696743
재정정책/NNG,960,1044,2004,0.0001509949149316,0.000206166959296,0.7323914338516534
미매각/NNG,858,1094,1952,0.0001349517052201,0.000216040855814,0.624658260640888
원화채권/NNG,941,998,1939,0.0001480064739069,0.0001970829744994,0.7509855901194051
a등급/NNG,905,1027,1932,0.000142344164597,0.0002028098344799,0.7018602670923799
수량/NNG,657,1257,1914,0.0001033371449063,0.0002482297584627,0.4162963600589365
테이퍼링/NNG,794,1075,1869,0.000124885377558,0.0002122887751372,0.5882806449721455
순자산/NNG,908,943,1851,0.0001428160237062,0.0001862216883296,0.7669140205268453
특수/NNG,710,1121,1831,0.0001116733225015,0.0002213727599337,0.504458283552817
유효경쟁/NNG,789,1024,1813,0.0001240989457094,0.0002022174006888,0.6136907372299688
구독/NNG,662,1149,1811,0.0001041235767549,0.0002269021419838,0.4588919956620118
유통시장/NNG,774,1025,1799,0.0001217396501636,0.0002024148786192,0.601436272837837
rp/NNG,813,985,1798,0.0001278738185827,0.0001945157614047,0.6573956663421484
추천종목/NNG,747,1046,1793,0.0001174929181812,0.0002065619151567,0.5688024246484835
만장일치/NNG,818,947,1765,0.0001286602504313,0.0001870116000511,0.6879800525539435
한경/NNG,497,1259,1756,7.817132575108174e-05,0.0002486247143234,0.3144149444828399
